station_id;dh_utc;temperature;pression;pression_variation_3h;humidite;point_de_rosee;visibilite;vent_moyen;vent_rafales;vent_rafales_10min;vent_direction;temperature_min;temperature_max;pluie_1h;pluie_3h;pluie_6h;pluie_12h;pluie_24h;ensoleillement;temperature_sol;temps_omm;source;radiations;neige_au_sol;nebulosite;raw_msg;pluie_cumul_0h;pluie_intensite;pluie_intensite_max_1h;uv;uv_index;complements
000BG;07/11/2024 00:00;13.1;1027.7;;93;12.2;;1.6;;6.4;52;13.1;13.4;0;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23.1@23.1@23.2@12:39am@12:00am@13.3@13.3@31.45@47@46@47@12:00am@12:54am@2400@2457@+0100
000BG;07/11/2024 00:10;13.1;1027.6;;93;12.2;;0;;1.6;103;13.1;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23.1@23.1@23.2@1:15am@12:00am@13.3@13.3@31.45@47@46@47@12:00am@12:54am@2400@1305@+0100
000BG;07/11/2024 00:20;13;1027.5;;94;12.2;;0;;0;103;13;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23.1@23.1@23.2@1:15am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1320@+0100
000BG;07/11/2024 00:30;13;1027.4;;94;12.2;;1.6;;4.8;86;13;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23.1@23.1@23.2@1:15am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1320@+0100
000BG;07/11/2024 00:40;12.9;1027.4;;94;12.2;;1.6;;4.8;94;12.9;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23.1@23@23.2@1:45am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1338@+0100
000BG;07/11/2024 00:50;12.9;1027.4;;94;12.2;;0;;4.8;94;12.9;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23@23@23.2@1:45am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1338@+0100
000BG;07/11/2024 01:00;12.9;1027.4;;94;12.2;;0;;4.8;94;12.9;13.4;0;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23@23@23.2@1:45am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1338@+0100
000BG;07/11/2024 01:10;12.9;1027.4;;94;12.2;;0;;0;94;12.9;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23@23@23.2@1:45am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1407@+0100
000BG;07/11/2024 01:20;12.8;1027.4;;94;12.2;;0;;3.2;94;12.8;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23@23@23.2@1:45am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1419@+0100
000BG;07/11/2024 01:30;12.8;1027.4;;94;12.2;;0;;0;94;12.8;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23@22.9@23.2@2:30am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1419@+0100
000BG;07/11/2024 01:40;12.8;1027.4;;94;11.7;;0;;3.2;94;12.8;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@23@22.9@23.2@2:30am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1443@+0100
000BG;07/11/2024 01:50;12.8;1027.3;;94;11.7;;0;;3.2;94;12.8;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@22.9@22.9@23.2@2:30am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1443@+0100
000BG;07/11/2024 02:00;12.8;1027.3;;94;11.7;;0;;0;94;12.8;13.4;0;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@22.9@22.9@23.2@2:30am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1443@+0100
000BG;07/11/2024 02:10;12.8;1027.2;;94;11.7;;0;;3.2;94;12.8;13.4;;;;;;;;;wlkIPxml;;;;;0;0;0;0;0;0@@0@@1037.1@@@11.3@22.9@22.9@23.2@2:30am@12:00am@12.8@12.8@31.45@47@46@47@12:00am@12:54am@2400@1443@+0100
