Ubat_W/m²_K;Complément_d'adresse_bâtiment;Méthode_application_DPE;N°_département_(BAN);Qualité_isolation_menuiseries;Nombre_appartement;Emission_GES_5_usages_énergie_n°2;Coordonnée_cartographique_X_(BAN);Date_fin_validité_DPE;Protection_solaire_exterieure_(0/1);Coût_total_5_usages;Conso_ECS_dépensier_é_primaire;Catégorie_ENR;Présence_brasseur_air_(0/1);Date_établissement_DPE;Score_BAN;Type_énergie_n°2;Conso_auxiliaires_é_primaire;N°_étage_appartement;N°_région_(BAN);Deperditions_planchers_hauts;Adresse_brute;Emission_GES_refroidissement_dépensier;Version_DPE;Deperditions_planchers_bas;Surface_tertiaire_immeuble;Coût_chauffage;_i;Qualité_isolation_plancher_bas;Déperditions_renouvellement_air;Surface_habitable_logement;Type_énergie_n°1;Conso_chauffage_é_finale;Besoin_refroidissement;Emission_GES_éclairage;Code_INSEE_(BAN);Conso_refroidissement_dépensier_é_primaire;Conso_ECS_dépensier_é_finale;Typologie_logement;_score;Classe_altitude;Coût_ECS;Conso_ECS_é_primaire;Nombre_niveau_logement;Adresse_(BAN);Emission_GES_ECS;Conso_chauffage_dépensier_é_finale;Date_visite_diagnostiqueur;Conso_refroidissement_é_finale;Déperditions_ponts_thermiques;Coordonnée_cartographique_Y_(BAN);Type_énergie_n°3;_geopoint;Emission_GES_5_usages_par_m²;Logement_traversant_(0/1);Conso_chauffage_é_primaire;Deperditions_enveloppe;Cage_d'escalier;Emission_GES_5_usages_énergie_n°1;Hauteur_sous-plafond;Inertie_lourde_(0/1);Qualité_isolation_enveloppe;Conso_éclairage_é_finale;Identifiant__BAN;Déperditions_portes;Coût_chauffage_dépensier;Emission_GES_auxiliaires;Statut_géocodage;Emission_GES_refroidissement;Position_logement_dans_immeuble;Coût_refroidissement;Conso_5_usages_é_primaire;Besoin_ECS;Coût_chauffage_énergie_n°1;Indicateur_confort_été;Conso_5_usages_é_finale_énergie_n°1;Code_postal_(BAN);Emission_GES_chauffage;Type_installation_chauffage;_id;Coût_ECS_dépensier;Surface_habitable_immeuble;Conso_éclairage_é_primaire;_rand;Nombre_niveau_immeuble;N°_DPE_remplacé;Conso_5_usages/m²_é_finale;Type_bâtiment;Conso_refroidissement_dépensier_é_finale;Nom_résidence;Date_réception_DPE;Qualité_isolation_plancher_haut_comble_aménagé;N°DPE;Type_énergie_principale_chauffage;Type_installation_ECS_(général);Isolation_toiture_(0/1);Conso_5_usages_é_finale;Conso_chauffage_dépensier_é_primaire;Coût_éclairage;Classe_inertie_bâtiment;Etiquette_GES;N°_voie_(BAN);Coût_ECS_énergie_n°1;Emission_GES_chauffage_dépensier;Coût_chauffage_énergie_n°2;Conso_auxiliaires_é_finale;Déperditions_murs;Deperditions_baies_vitrées;Qualité_isolation_murs;Etiquette_DPE;Emission_GES_5_usages;Emission_GES_5_usages_énergie_n°3;Conso_refroidissement_é_primaire;N°_DPE_immeuble_associé;Coût_ECS_énergie_n°2;Invariant_fiscal_logement;Code_postal_(brut);Zone_climatique_;Coût_ECS_énergie_n°3;Coût_chauffage_énergie_n°3;Conso_ECS_é_finale;Modèle_DPE;Coût_auxiliaires;Coût_refroidissement_dépensier;Nom__rue_(BAN);Nom__commune_(BAN);Emission_GES_ECS_dépensier;Conso_5_usages_par_m²_é_primaire;Besoin_chauffage;Appartement_non_visité_(0/1);Complément_d'adresse_logement
1.42;;dpe appartement individuel;69.0;moyenne;1.0;;842365.11;28/08/2034;FAUX;1360.0;4144.8;;FAUX;29/08/2024;0.8;;0.0;;84.0;0.0;4 Rue Imbert Colomès;0.0;02/04/2024;11.2;;1040.0;3342;insuffisante;14.8;27.0;Électricité;4810.1;0;3.5;69381.0;0.0;1802.1;;29.3162;inférieur à 400m;309.0;3283.3;1.0;4 Rue Imbert Colomès 69001 Lyon;92.8;5849.5;29/08/2024;0.0;8.0;6520727.47;;45.77129296375083,4.832061056265806;17.0;FAUX;11063.2;113.1;;476.2;3.4;FAUX;insuffisante;50.2;69381_3600_00004;5.6;1244.0;0.0;adresse non géocodée ban car aucune correspondance trouvée;0.0;;0.0;14462.0;848,1;1040.0;moyen;6287.8;69001;380.0;mixte (collectif-individuel);IGC6pBRyfUl3wt0EYQ6pE;383.0;27.0;115.5;426895;1.0;;232.9;appartement;0.0;;30/08/2024;;2469E3018449Z;Électricité;individuel;FAUX;6287.8;13453.8;11.0;Moyenne;C;4;309.0;462.1;;0.0;57.3;16.1;insuffisante;G;459.0;;0.0;;;;69001;H1c;;;1427.5;DPE 3CL 2021 méthode logement;0.0;0.0;Rue Imbert Colomès;Lyon;117.1;535.0;5261.0;FAUX;1-appartement-1-LogZone
2.36;653199;dpe appartement individuel;69.0;moyenne;1.0;;842432.78;23/07/2034;FAUX;2195.5;3801.7;;FAUX;24/07/2024;0.61;;757.0;0.0;84.0;0.0;10 RUE LONGUE;0.0;02/04/2024;0.0;;1766.1;20196;très bonne;52.6;41.5;Électricité;8467.8;0;5.3;69381.0;0.0;2120.1;;29.3162;inférieur à 400m;344.7;3801.7;1.0;10 Rue Longue 69001 Lyon;107.4;10243.9;23/07/2024;0.0;10.5;6520059.01;;45.76526103679321,4.8327319482507685;19.0;VRAI;19475.9;187.1;;802.8;3.6;FAUX;insuffisante;77.1;69381_4275_00010;3.0;1766.1;21.1;adresse géocodée ban à l'adresse;0.0;;0.0;24212.0;1022,5;1766.1;insuffisant;10526.9;69001;669.0;individuel;4MGBQ4b4Byuk0c79oAOvH;344.7;;177.3;283011;;;253.0;appartement;0.0;;25/07/2024;;2469E2692386C;Électricité;individuel;FAUX;10526.9;19475.9;16.1;Moyenne;C;10;344.7;669.0;;329.1;85.1;35.8;insuffisante;G;802.8;;0.0;;;;69001;H1c;;;1652.9;DPE 3CL 2021 méthode logement;68.6;0.0;Rue Longue;Lyon;107.4;583.0;9089.0;;2ième Etage Porte Gauche
0.59;2024-08-15639;dpe appartement individuel;69.0;moyenne;1.0;16.7;842540.42;11/08/2034;VRAI;1684.8;1708.7;;FAUX;12/08/2024;0.64;Électricité;414.3;0.0;84.0;16.6;27 RUE IMBERT COLOMES;0.0;02/04/2024;0.0;;1413.4;20897;très bonne;53.4;40.1;Gaz naturel;13198.5;0;5.1;69381.0;0.0;2220.8;;29.3162;inférieur à 400m;183.0;1708.7;1.0;27 Rue Imbert Colomès 69001 Lyon;387.9;15941.8;11/08/2024;0.0;8.8;6520759.87;;45.771547996978036,4.834325949932298;84.0;FAUX;13198.5;185.6;;3383.9;2.5;FAUX;bonne;74.6;69381_3600_00027;2.9;1413.4;11.5;adresse géocodée ban à l'adresse;0.0;;0.0;15493.0;1006;1413.4;moyen;14907.3;69001;2996.1;individuel;Zl8Hw4Buuq0K14cOze3H3;183.0;;171.5;631723;;;378.0;appartement;0.0;;13/08/2024;bonne;2469E2876942K;Gaz naturel;individuel;VRAI;15161.9;13198.5;25.9;Moyenne;F;27;183.0;2996.1;0.0;180.1;82.3;21.7;insuffisante;F;3400.6;;0.0;;0.0;;69001;H1c;;;1708.7;DPE 3CL 2021 méthode logement;62.5;0.0;Rue Imbert Colomès;Lyon;387.9;386.0;8784.5;;Etage 6
0.42;23/DFA/0199;dpe appartement individuel;69.0;moyenne;1.0;34.5;842600.66;28/07/2034;VRAI;1369.4;2048.7;;FAUX;29/07/2024;0.62;Électricité;895.1;0.0;84.0;0.0;17 Rue Romarin;0.0;02/04/2024;0.0;;956.1;21219;très bonne;41.3;75.1;Gaz naturel;8530.5;0;9.6;69381.0;0.0;2708.3;;29.3162;inférieur à 400m;229.6;2048.7;1.0;17 Rue Romarin 69001 Lyon;465.0;10499.9;29/11/2023;0.0;14.3;6520465.8;;45.768888041102485,4.835012959717989;32.0;VRAI;8530.5;128.1;;2401.5;2.5;FAUX;très bonne;139.7;69381_6115_00017;0.6;956.1;24.9;adresse géocodée ban à l'adresse;0.0;;0.0;11795.6;1295,3;956.1;moyen;10579.2;69001;1936.4;individuel;1PuFNg52q5tTdCMxlQ1A4;229.6;;321.4;873413;;;147.0;appartement;0.0;;30/07/2024;;2469E2754255R;Gaz naturel;individuel;FAUX;11108.1;8530.5;48.5;Moyenne;D;17;229.6;1936.4;0.0;389.2;24.9;47.0;insuffisante;D;2436.0;;0.0;;0.0;;69001;H1c;;;2048.7;DPE 3CL 2021 méthode logement;135.1;0.0;Rue Romarin;Lyon;465.0;156.0;5039.0;;
1.29;240911838;dpe appartement individuel;69.0;bonne;1.0;;842544.94;09/09/2034;FAUX;544.6;2682.7;;FAUX;10/09/2024;0.57;;169.3;0.0;84.0;0.0;12 Rue saint Polycarpe;0.0;02/04/2024;0.0;;198.3;21745;très bonne;12.7;30.8;Électricité;742.6;0;4.0;69381.0;0.0;1532.1;;29.3162;inférieur à 400m;311.4;2682.7;1.0;12 Rue Saint Polycarpe 69001 Lyon;75.8;956.1;10/09/2024;0.0;7.4;6520464.94;;45.76889195591231,4.834295944887911;4.0;VRAI;1707.9;29.7;;143.1;2.4;FAUX;insuffisante;57.3;69381_6535_00012;0.0;198.3;4.7;adresse géocodée ban à l'adresse;0.0;;0.0;4691.7;894,3;198.3;insuffisant;2039.9;69001;58.7;individuel;IumcFRSWbECeYsKneiyX_;311.4;;131.9;53160;;;66.0;appartement;0.0;;11/09/2024;;2469E3159025T;Électricité;individuel;FAUX;2039.9;1707.9;15.3;Légère;A;12;311.4;58.7;;73.6;3.6;6.0;bonne;C;143.1;;0.0;;;;69001;H1c;;;1166.4;DPE 3CL 2021 méthode logement;19.6;0.0;Rue Saint Polycarpe;Lyon;75.8;152.0;779.6;;Etage 6
0.24;24/DDF/0091;dpe appartement individuel;69.0;moyenne;1.0;;842687.36;12/09/2034;VRAI;497.4;2939.2;;FAUX;13/09/2024;0.58;;94.5;0.0;84.0;4.8;8 RUE DU GRIFFON;0.0;02/04/2024;0.0;;115.8;22164;très bonne;8.8;14.2;Électricité;411.2;0;1.8;69381.0;0.0;1584.4;;29.3162;inférieur à 400m;359.9;2939.2;1.0;8 Rue du Griffon 69001 Lyon;83.1;549.8;12/09/2024;0.0;0.0;6520485.25;;45.7690449916884,4.836134049056059;8.0;FAUX;945.8;21.7;;120.0;2.5;FAUX;très bonne;26.4;69381_3355_00008;2.8;115.8;2.6;adresse géocodée ban à l'adresse;0.0;;0.0;4040.4;694;115.8;moyen;1756.7;69001;32.5;individuel;DyMqfCOBfuwW3ulgnMSfM;359.9;;60.8;78041;;;123.0;appartement;0.0;;14/09/2024;très bonne;2469E3197853D;Électricité;individuel;VRAI;1756.7;945.8;7.4;Légère;A;8;359.9;32.5;;41.1;1.7;3.6;très bonne;D;120.0;;0.0;;;;69001;H1c;;;1277.9;DPE 3CL 2021 méthode logement;14.3;0.0;Rue du Griffon;Lyon;83.1;284.0;414.7;;Etage 6
1.13;240811783;dpe appartement individuel;69.0;insuffisante;1.0;;842512.32;20/08/2034;FAUX;1619.8;3766.2;;FAUX;21/08/2024;0.58;;0.0;0.0;84.0;14.5;7 RUE DU PLATRE;0.0;02/04/2024;0.0;;1254.6;23491;très bonne;40.5;42.0;Électricité;5893.0;0;5.4;69381.0;0.0;2091.7;;29.3162;inférieur à 400m;348.6;3766.2;1.0;7 Rue du Plâtre 69001 Lyon;106.4;7170.5;21/08/2024;0.0;15.8;6520159.16;;45.7661460057358,4.833784971083916;13.0;FAUX;13553.8;143.5;;577.4;3.3;FAUX;insuffisante;78.0;69381_5600_00007;0.0;1254.6;0.0;adresse géocodée ban à l'adresse;0.0;;0.0;17499.4;1028,4;1254.6;insuffisant;7608.4;69001;465.5;individuel;Zc8UbDnDawnXvN4WAes0I;348.6;;179.4;312485;;;181.0;appartement;0.0;;22/08/2024;insuffisante;2469E2925939X;Électricité;individuel;VRAI;7608.4;13553.8;16.6;Légère;C;7;348.6;465.5;;0.0;37.1;35.7;insuffisante;F;577.4;;0.0;;;;69001;H1c;;;1637.5;DPE 3CL 2021 méthode logement;0.0;0.0;Rue du Plâtre;Lyon;106.4;417.0;6604.2;;4
1.24;655694;dpe appartement individuel;69.0;bonne;1.0;;842377.41;27/08/2034;FAUX;1361.7;3740.1;;FAUX;28/08/2024;0.62;;613.8;0.0;84.0;0.0;27 RUE LANTERNE;0.0;02/04/2024;16.5;;939.1;23896;insuffisante;26.4;33.6;Électricité;4344.5;0;4.3;69381.0;0.0;2035.9;;29.3162;inférieur à 400m;351.5;3740.1;1.0;27 Rue Lanterne 69001 Lyon;105.7;5341.7;28/08/2024;0.0;7.1;6520106.82;;45.76570301392487,4.832034009583306;13.0;FAUX;9992.4;108.3;;470.3;3.0;FAUX;insuffisante;62.5;69381_4140_00027;6.2;939.1;17.1;adresse géocodée ban à l'adresse;0.0;;0.0;14490.1;928;939.1;insuffisant;6300.0;69001;343.2;individuel;otoKbLBCeOBJEtbxtq7rN;351.5;;143.8;643376;;;187.0;appartement;0.0;;29/08/2024;;2469E3004398O;Électricité;individuel;FAUX;6300.0;9992.4;13.5;Moyenne;C;27;351.5;343.2;;266.9;38.6;13.6;insuffisante;F;470.3;;0.0;;;;69001;H1c;;;1626.1;DPE 3CL 2021 méthode logement;57.7;0.0;Rue Lanterne;Lyon;105.7;430.0;4581.9;;1er Etage Couloir droit 2ième porte droite
0.38;2351;dpe appartement individuel;69.0;insuffisante;1.0;;842438.78;01/07/2034;FAUX;1629.3;4357.0;;FAUX;02/07/2024;0.64;;1085.8;0.0;84.0;4.6;17 Rue René Leynaud;0.0;02/04/2024;0.0;;1097.6;24591;très bonne;60.7;71.0;Électricité;5157.9;0;9.1;69381.0;0.0;2454.0;;29.3162;inférieur à 400m;403.1;4357.0;2.0;17 Rue René Leynaud 69001 Lyon;123.1;6300.1;09/06/2022;0.0;5.6;6520557.34;;45.769745980188176,4.832957944095519;8.0;VRAI;11863.2;137.2;;569.9;2.5;FAUX;très bonne;132.0;69381_5990_00017;2.2;1097.6;30.2;adresse géocodée ban à l'adresse;0.0;;0.0;17609.6;1267,3;1097.6;insuffisant;7656.3;69001;407.5;individuel;ojV1lGEz2nKq8r62Ff01X;403.1;;303.7;637244;;;107.0;appartement;0.0;;03/07/2024;;2469E2401051X;Électricité;individuel;VRAI;7656.3;11863.2;28.1;Légère;B;17;403.1;407.5;;472.1;42.7;21.3;insuffisante;D;569.9;;0.0;;;;69001;H1c;;;1894.3;DPE 3CL 2021 méthode logement;100.5;0.0;Rue René Leynaud;Lyon;123.1;248.0;5378.5;;4eme etage
0.4;657805;dpe appartement individuel;69.0;moyenne;1.0;;842470.46;11/09/2034;VRAI;811.7;3514.3;;FAUX;12/09/2024;0.62;;239.3;0.0;84.0;6.9;7 PLACE DES TERREAUX;0.0;02/04/2024;0.0;;409.8;25789;très bonne;32.1;41.0;Électricité;1741.8;0;5.3;69381.0;0.0;1976.9;;29.3162;inférieur à 400m;359.5;3514.3;1.0;7 Place des Terreaux 69001 Lyon;99.3;2228.0;09/09/2024;0.0;11.3;6520338.25;;45.76776700849016,4.833300022480267;6.0;VRAI;4006.1;61.7;;248.8;2.7;FAUX;très bonne;76.2;69381_6950_00007;0.7;409.8;6.7;adresse géocodée ban à l'adresse;0.0;;0.0;7935.0;1016,5;409.8;moyen;3450.0;69001;137.6;individuel;3oTDiPTx6FH7JLkr3OmbK;359.5;;175.2;818865;;2469E3186944O;84.0;appartement;0.0;;13/09/2024;;2469E3192413X;Électricité;individuel;VRAI;3450.0;4006.1;17.9;Moyenne;B;7;359.5;137.6;;104.1;2.7;8.0;bonne;D;248.8;;0.0;;;;69001;H1c;;;1528.0;DPE 3CL 2021 méthode logement;24.5;0.0;Place des Terreaux;Lyon;99.3;193.0;1860.2;;6e ETAGE, 1ère porte gauche escalier
